,title,url
73,Le Renard et le Buste,http:/www.lesfables.fr/livre-4/le-renard-et-le-buste
74,"Le Loup, la Chèvre et le Chevreau",http:/www.lesfables.fr/livre-4/le-loup-la-chevre-et-le-chevreau
75,"Le Loup, la Mère et l’Enfant",http:/www.lesfables.fr/livre-4/le-loup-la-mere-et-l-enfant
76,Parole de Socrate,http:/www.lesfables.fr/livre-4/parole-de-socrate
77,Le Vieillard et ses Enfants,http:/www.lesfables.fr/livre-4/le-vieillard-et-ses-enfants
78,L’Oracle et l’Impie,http:/www.lesfables.fr/livre-4/l-oracle-et-l-impie
79,L’Avare qui a perdu son trésor,http:/www.lesfables.fr/livre-4/l-avare-qui-perdu-son-tresor
80,L'Oeil du Maître,http:/www.lesfables.fr/livre-4/l-oeil-du-maitre
81,L’Alouette et ses Petits avec le Maître d’un champ,http:/www.lesfables.fr/livre-4/l-alouette-et-ses-petits-avec-le-maitre-d-un-champ
82,Le Bûcheron et Mercure,http:/www.lesfables.fr/livre-5/le-bucheron-et-mercure
83,Le Pot de terre et le Pot de fer,http:/www.lesfables.fr/livre-5/le-pot-de-terre-et-le-pot-de-fer
84,Le Petit Poisson et le Pêcheur,http:/www.lesfables.fr/livre-5/le-petit-poisson-et-le-pecheur
85,Les Oreilles du Lièvre,http:/www.lesfables.fr/livre-5/les-oreilles-du-lievre
86,Le Renard ayant la queue coupée,http:/www.lesfables.fr/livre-5/le-renard-ayant-la-queue-coupee
87,La Vieille et les deux Servantes,http:/www.lesfables.fr/livre-5/la-vieille-et-les-deux-servantes
88,Le Satyre et le Passant,http:/www.lesfables.fr/livre-5/le-satyre-et-le-passant
89,Le Cheval et le Loup,http:/www.lesfables.fr/livre-5/le-cheval-et-le-loup
90,Le Laboureur et ses Enfants,http:/www.lesfables.fr/livre-5/le-laboureur-et-ses-enfants
91,La Montagne qui accouche,http:/www.lesfables.fr/livre-5/la-montagne-qui-accouche
92,La Fortune et le jeune Enfant,http:/www.lesfables.fr/livre-5/la-fortune-et-le-jeune-enfant
93,Les Médecins,http:/www.lesfables.fr/livre-5/les-medecins
94,La Poule aux œufs d’or,http:/www.lesfables.fr/livre-5/la-poule-aux-oeufs-d-or
95,L’Âne portant des reliques,http:/www.lesfables.fr/livre-5/l-ane-portant-des-reliques
96,Le Cerf et la Vigne,http:/www.lesfables.fr/livre-5/le-cerf-et-la-vigne
97,Le Serpent et la Lime,http:/www.lesfables.fr/livre-5/le-serpent-et-la-lime
98,Le Lièvre et la Perdrix,http:/www.lesfables.fr/livre-5/le-lievre-et-la-perdrix
99,L’Aigle et le Hibou,http:/www.lesfables.fr/livre-5/l-aigle-et-le-hibou
100,Le Lion s’en allant en guerre,http:/www.lesfables.fr/livre-5/le-lion-s-en-allant-en-guerre
101,L’Ours et les deux Compagnons,http:/www.lesfables.fr/livre-5/l-ours-et-les-deux-compagnons
102,L’Âne vêtu de la peau du Lion,http:/www.lesfables.fr/livre-5/l-ane-vetu-de-la-peau-du-lion
103,Le Pâtre et le Lion,http:/www.lesfables.fr/livre-6/le-patre-et-le-lion
104,Le Lion et le Chasseur,http:/www.lesfables.fr/livre-6/le-lion-et-le-chasseur
105,Phébus et Borée,http:/www.lesfables.fr/livre-6/phebus-et-boree
106,Jupiter et le Métayer,http:/www.lesfables.fr/livre-6/jupiter-et-le-metayer
107,"Le Cochet, le Chat et le Souriceau",http:/www.lesfables.fr/livre-6/le-cochet-le-chat-et-le-souriceau
108,"Le Renard, le Singe et les Animaux",http:/www.lesfables.fr/livre-6/le-renard-le-singe-et-les-animaux
109,Le Mulet se vantant de sa généalogie,http:/www.lesfables.fr/livre-6/le-mulet-se-vantant-de-sa-genealogie
110,Le Vieillard et l’Âne,http:/www.lesfables.fr/livre-6/le-vieillard-et-l-ane
111,Le Cerf se voyant dans l’eau,http:/www.lesfables.fr/livre-6/le-cerf-se-voyant-dans-l-eau
112,Le Lièvre et la Tortue,http:/www.lesfables.fr/livre-6/le-lievre-et-la-tortue
113,L’Âne et ses Maîtres,http:/www.lesfables.fr/livre-6/l-ane-et-ses-maitres
114,Le Soleil et les Grenouilles,http:/www.lesfables.fr/livre-6/le-soleil-et-les-grenouilles
115,Le Villageois et le Serpent,http:/www.lesfables.fr/livre-6/le-villageois-et-le-serpent
116,Le Lion malade et le Renard,http:/www.lesfables.fr/livre-6/le-lion-malade-et-le-renard
117,"L’Oiseleur, l’Autour et l’Alouette",http:/www.lesfables.fr/livre-6/l-oiseleur-l-autour-et-l-alouette
118,Le Cheval et l’Âne,http:/www.lesfables.fr/livre-6/le-cheval-et-l-ane
119,Le Chien qui lâche sa proie pour l’ombre,http:/www.lesfables.fr/livre-6/le-chien-qui-lache-sa-proie-pour-l-ombre
120,Le Chartier embourbé,http:/www.lesfables.fr/livre-6/le-chartier-embourbe
121,Le Charlatan,http:/www.lesfables.fr/livre-6/le-charlatan
122,La Discorde,http:/www.lesfables.fr/livre-6/la-discorde
123,La Jeune Veuve,http:/www.lesfables.fr/livre-6/la-jeune-veuve
124,Les Animaux malades de la peste,http:/www.lesfables.fr/livre-7/les-animaux-malades-de-la-peste
125,Le mal Marié,http:/www.lesfables.fr/livre-7/le-mal-marie
126,Le Rat qui s’est retiré du monde,http:/www.lesfables.fr/livre-7/le-rat-qui-s-est-retire-du-monde
127,Le Héron,http:/www.lesfables.fr/livre-7/le-heron
128,La Fille,http:/www.lesfables.fr/livre-7/la-fille
129,Les Souhaits,http:/www.lesfables.fr/livre-7/les-souhaits
130,La Cour du Lion,http:/www.lesfables.fr/livre-7/la-cour-du-lion
131,Les Vautours et les Pigeons,http:/www.lesfables.fr/livre-7/les-vautours-et-les-pigeons
